Sl. No.,State/UT,Primary level (I - V) - Boys,Primary level (I - V) - Girls,Primary level (I - V) - Total,Upper Primary - Boys,Upper Primary - Girls,Upper Primary - Total,Elementary level (I - VIII) - Boys,Elementary level (I - VIII) - Girls,Elementary level (I - VIII) - Total,Secondary (IX-X) - Boys,Secondary (IX-X) - Girls,Secondary (IX-X) - Total,Higher Secondary - Boys,Higher Secondary - Girls,Higher Secondary - Total
1,Andaman & Nicobar Islands,1.8,1.1,1.4,0.9,0,0.5,1.4,0.7,1.1,23.3,16.2,19.6,24.4,15,19.7
2,Andhra Pradesh,0.3,0,0.1,6.3,4.9,5.6,2.2,1.6,1.9,19.4,14.5,16.9,10.6,0,5.3
3,Arunachal Pradesh,7.5,4.6,6.1,5.6,5.3,5.4,6.9,4.9,5.9,34.9,26.5,30.7,20.7,6.1,13.3
4,Assam,5.5,5,5.3,1.1,0,0.6,4,3.2,3.6,29.5,29.4,29.5,12.3,5.9,9.2
5,Bihar,10.7,9.1,9.9,7.2,6.3,6.7,9.7,8.2,9,19.6,19.1,19.4,0,4.5,2.1
6,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Chhattisgarh,3.5,2.8,3.2,7.7,5.9,6.8,4.9,3.9,4.4,21.8,19,20.3,4.6,3.3,3.9
8,Dadra & Nagar Haveli,0,0.5,0.1,2.6,2.6,2.6,0.7,1.2,0.9,27.5,22.3,25,11.9,8.1,9.9
9,Daman & Diu,0,1.5,0,0,0,0,0,0.4,0,33.9,23.2,28.7,7.2,0,1.4
10,Delhi,0.4,5.3,2.7,0,5.6,0.9,0,5.4,2.1,2.4,3.5,3,18.4,8.4,13.9
11,Goa,0,0,0,0,3.1,1.2,0,0,0,13.7,2.6,8.3,13.7,9,11.3
12,Gujarat,2.3,2.3,2.3,6.8,8.3,7.5,4,4.5,4.2,29.3,23.5,26.6,4.7,0,2.2
13,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Himachal Pradesh,2,0,0.9,0,0.8,0,0,0.1,0,7.9,5.2,6.6,9.6,5.3,7.5
15,Jammu & Kashmir,18.9,19.2,19,22.4,25.9,24.1,20,21.2,20.6,41,46,43.3,43.2,50.6,46.5
16,Jharkhand,7.3,5.6,6.5,11.5,9.9,10.7,8.6,7,7.8,24.9,23.4,24.2,6.5,2.9,4.7
17,Karnataka,1.4,0.8,1.1,3.1,3.1,3.1,2,1.6,1.8,21.1,17.4,19.3,2.6,0.5,1.5
18,Kerala,5.8,6.5,6.2,8.4,6.4,7.5,6.8,6.5,6.7,20.9,19.3,20.1,10.2,6,8
19,Ladakh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Lakshadweep,0,0,0,0,0.1,0,0,0,0,10.4,2.9,6.7,2.2,1.8,2
21,Madhya Pradesh,3.7,3.7,3.7,8.2,8.8,8.5,5.2,5.4,5.3,33.2,28.4,30.9,0.9,0,0.3
22,Maharashtra,0,0,0,2,3.4,2.7,0.5,1,0.7,26.7,25.5,26.2,4.6,4.9,4.8
23,Manipur,13.6,13.9,13.8,6.1,5.2,5.7,11.5,11.4,11.4,13.6,9.7,11.7,4.2,1.6,2.9
24,Meghalaya,8.4,6.5,7.5,9.4,6.3,7.8,8.7,6.5,7.6,22.7,21.6,22.1,0,0,0
25,Mizoram,8,7.6,7.8,3.5,0.9,2.2,6.5,5.4,6,23,17.2,20.1,0,0,0
26,Nagaland,4.1,2.8,3.5,7,4,5.5,5.1,3.2,4.2,21.4,20.7,21.1,20.8,12.2,16.5
27,Orissa,4.3,4.3,4.3,10.5,8.7,9.6,6.5,5.8,6.2,33.5,29.5,31.5,2.1,7.2,4.7
28,Pondicherry,0,0,0,2.4,0,0,0,0,0,4.3,40,27.5,0,0,0
29,Punjab,0,0,0,0,2.4,0.7,0,0,0,5,12.4,8.1,0,0,0
30,Rajasthan,4.8,4.9,4.8,4.3,3.5,3.9,4.6,4.5,4.5,18.2,15.4,16.9,0,0,0
31,Sikkim,3.7,0.5,2.3,0.5,0,0,2.5,0,0.6,25.7,21.3,23.3,6.4,5.9,6.1
32,Tamil Nadu,3.8,3.1,3.5,17.7,17.5,17.6,9.6,9.1,9.4,35.4,29,32.3,14.2,9.8,12
33,Telangana,1.3,1.1,1.2,1.8,1,1.4,1.4,1,1.3,12.6,9.3,11,23,19.1,21
34,Tripura,3.2,3.3,3.3,6.5,6.7,6.6,4.4,4.5,4.5,35.5,33.7,34.7,0,0,0
35,Uttar Pradesh,2.6,1.8,2.2,2,5.2,3.6,2.4,3,2.7,20.3,20.9,20.6,0,0,0
36,Uttaranchal,1,0,0.3,0,2.3,0,0,0.6,0.1,9.9,9.3,9.6,0,0,0
37,West Bengal,2.2,1.2,1.7,0.4,0,0,1.6,0,0.7,22.1,21.2,21.6,3.2,4.2,3.7
Total,Total,4.1,3.6,3.8,6.3,5.8,6.1,4.8,4.4,4.6,25.6,22.7,24.2,4.3,3,3.6
